任务号码,任务gps 纬度,任务gps经度,任务标价,任务执行情况,3中心聚类,5中心聚类,7中心聚类,,Y,X,任务密度
A0001,22.56614225,113.9808368,66,0,3,3,3,,-40.94784672,-22.25651307,0
A0002,22.68620526,113.9405252,65.5,0,3,3,3,,-27.62085261,-19.63154287,0
A0003,22.57651183,113.957198,65.5,1,3,3,3,,-39.79682334,-20.71722548,0
A0004,22.56484081,114.2445711,75,0,3,3,2,,-41.09230656,-39.4300978,0
A0005,22.55888775,113.9507227,65.5,0,3,3,3,,-41.75309622,-20.29557341,0
A0006,22.55899906,114.2413174,75,0,3,3,2,,-41.74074081,-39.21822664,0
A0007,22.54900371,113.9722597,65.5,1,3,3,3,,-42.85022466,-21.6979981,0
A0008,22.56277351,113.9565735,65.5,0,3,3,3,,-41.32177686,-20.67655992,0
A0009,22.50001192,113.8956606,66,0,3,3,3,,-48.28831335,-16.710095,0
A0010,22.5437861,113.9239778,66,1,3,3,3,,-43.42937937,-18.55402593,0
A0011,22.52486369,113.9308596,65.5,0,3,3,3,,-45.52976688,-19.00214805,0
A0012,22.519087,113.9358436,65.5,0,3,3,3,,-46.17097947,-19.32669115,0
A0013,22.54797243,113.977909,65.5,1,3,3,3,,-42.96469674,-22.06586353,0
A0014,22.50616871,113.9314284,66,1,3,3,3,,-47.60490966,-19.0391866,0
A0015,22.49962566,113.9365145,66,1,3,3,3,,-48.33118821,-19.37037814,0
A0016,22.54032142,113.9236456,66,1,3,3,3,,-43.81395885,-18.53239406,0
A0017,22.52455419,113.9247319,65.5,1,3,3,3,,-45.56412138,-18.60313065,0
A0018,22.4981901,113.8984817,66,0,3,3,3,,-48.49053537,-16.89379655,0
A0019,22.54603946,113.9749684,65.5,1,3,3,3,,-43.17925641,-21.8743805,0
A0020,22.49772892,113.9373377,66,1,3,3,3,,-48.54172635,-19.42398245,0
A0021,22.49416247,113.927139,66,1,3,3,3,,-48.9376023,-18.75987377,0
A0022,22.51592012,113.9356769,65,1,3,3,3,,-46.52250315,-19.31583615,0
A0023,22.51578568,113.9420557,65.5,0,3,3,3,,-46.53742599,-19.73120443,0
A0024,22.54220963,114.0196493,66.5,0,3,3,3,,-43.60436754,-24.78386638,0
A0025,22.54458961,113.9986601,67.5,0,3,3,3,,-43.34018976,-23.41711278,0
A0026,22.49308313,113.9358391,66,1,3,3,3,,-49.05740904,-19.32639812,0
A0027,22.52488949,113.9191429,65.5,1,3,3,3,,-45.52690308,-18.23919177,0
A0028,22.54808582,113.9453119,66.5,1,3,3,3,,-42.95211045,-19.94323838,0
A0029,22.56470734,113.9820093,66,0,3,3,3,,-41.10712173,-22.33286274,0
A0030,22.58193448,114.1563953,68,0,3,3,2,,-39.19490919,-33.68835479,0
A0031,22.54293611,114.1314072,67,0,3,3,3,,-43.52372826,-32.06120484,0
A0032,22.52394954,113.9434416,65.5,0,3,3,3,,-45.63123753,-19.82145007,0
A0033,22.55101305,113.9567446,65.5,1,3,3,3,,-42.62718792,-20.68770143,0
A0034,22.5829933,114.1471227,66,1,3,3,2,,-39.07738017,-33.08455096,0
A0035,22.54927013,114.1317447,66.5,0,3,3,3,,-42.82065204,-32.08318183,0
A0036,22.52596134,113.9353993,65.5,1,3,3,3,,-45.40792773,-19.29775967,0
A0037,22.7563793,114.0421356,70,0,3,3,2,,-19.83153417,-26.24810664,0
A0038,22.64144071,114.4227421,75,0,3,3,2,,-32.58971766,-51.03205767,0
A0039,22.71166007,114.0728836,66.5,0,3,3,2,,-24.7953687,-28.25032396,0
A0040,22.60649323,114.1241536,66,0,3,3,2,,-36.46888794,-31.58887222,0
A0041,22.66229971,114.0729969,65,0,3,3,2,,-30.27436866,-28.25770171,0
A0042,22.63539828,114.2263772,66.5,1,3,3,2,,-33.26042739,-38.24536573,0
A0043,22.73802844,114.264097,67,0,3,3,2,,-21.86847963,-40.70156571,0
A0044,22.62558348,114.1549664,69,0,3,3,2,,-34.34987019,-33.59530912,0
A0045,22.65265496,114.0272292,66,0,3,3,3,,-31.34493591,-25.27744668,0
A0046,22.78892197,113.8966327,66,0,3,5,4,,-16.2192978,-16.77339522,0
A0047,22.70103564,114.2442921,67,0,3,3,2,,-25.97468043,-39.41193016,0
A0048,22.63154051,114.1214928,67,0,3,3,2,,-33.68863986,-31.41560892,0
A0049,22.6417148,114.195533,68.5,0,3,3,2,,-32.55929367,-36.23688415,0
A0050,22.68940336,114.3454188,70,0,3,3,2,,-27.26586351,-45.99699684,0
A0051,22.63010042,114.0638327,66.5,0,3,3,3,,-33.84848985,-27.66095656,0
A0052,22.66391673,114.0717177,65.5,0,3,3,2,,-30.09487944,-28.17440405,0
A0053,22.750664,114.378843,70,0,3,3,2,,-20.46593247,-48.17348026,0
A0054,22.72272561,114.0738016,67,0,3,3,2,,-23.56709376,-28.31010136,0
A0055,22.64138032,114.2299818,67,0,3,3,2,,-32.59642095,-38.48008644,0
A0056,22.77640754,114.3095878,73,0,3,3,2,,-17.60839953,-43.66378984,0
A0057,22.58706534,113.9057614,66,0,3,3,3,,-38.62538373,-17.36782872,0
A0058,22.69339571,114.1474874,69,0,3,3,2,,-26.82271266,-33.10829913,0
A0059,22.6040497,114.0586138,66,0,3,3,3,,-36.74011977,-27.32111748,0
A0060,22.6376364,114.0679162,65.5,0,3,3,3,,-33.01199607,-27.9268618,0
A0061,22.65788521,114.0747723,65.5,0,3,3,2,,-30.76437816,-28.37331042,0
A0062,22.61781817,114.1572608,67.5,0,3,3,2,,-35.2118196,-33.74471355,0
A0063,22.64144071,114.4227421,75,0,3,3,2,,-32.58971766,-51.03205767,0
A0064,22.78139876,114.3008065,73,0,3,3,2,,-17.05437411,-43.09197798,0
A0065,22.72294122,114.2777156,67,0,3,3,2,,-23.54316105,-41.588368,0
A0066,22.67470711,114.2209333,67,0,3,3,2,,-28.89714726,-37.89087533,0
A0067,22.66283814,114.0263974,65,0,3,3,3,,-30.21460293,-25.22328237,0
A0068,22.65776972,114.0794934,65.5,0,3,3,2,,-30.77719755,-28.68073426,0
A0069,22.65691327,114.2100928,66,0,3,3,2,,-30.8722635,-37.18497456,0
A0070,22.73859039,113.8184493,66.5,0,3,5,4,,-21.80610318,-11.68232727,0
A0071,22.71636331,114.322257,70,0,3,3,2,,-24.27330906,-44.48877006,0
A0072,22.52331401,114.0466386,66.5,0,3,3,3,,-45.70178136,-26.54132846,0
A0073,22.65301422,114.2124549,66,0,3,3,2,,-31.30505805,-37.33878741,0
A0074,22.5331754,114.0831342,66.5,0,3,3,3,,-44.60716707,-28.91781221,0
A0075,22.59955905,114.130363,66.5,0,3,3,2,,-37.23858192,-31.99320968,0
A0076,22.65027837,113.9366241,68.5,0,3,3,3,,-31.6087374,-19.37751496,0
A0077,22.73782038,114.2858901,65.5,1,3,3,2,,-21.89157429,-42.12066686,0
A0078,22.73859039,113.8184493,66.5,1,3,5,4,,-21.80610318,-11.68232727,0
A0079,22.74300109,113.9950401,71,0,3,3,2,,-21.31651548,-23.18138926,0
A0080,22.63495417,114.0448196,66,0,3,3,3,,-33.3097236,-26.42288065,0
A0081,22.75139338,114.0262399,70,1,3,3,2,,-20.38497129,-25.21302644,0
A0082,22.61556463,114.1524159,67,0,3,3,2,,-35.46196254,-33.42922823,0
A0083,22.68447006,114.000085,66,0,3,3,3,,-27.81345981,-23.50989798,0
A0084,22.6651428,114.0200019,65.5,0,3,3,3,,-29.95878567,-24.80682663,0
A0085,22.69331552,113.8170784,66,0,3,3,4,,-26.83161375,-11.59305838,0
A0086,22.75600203,113.8513612,66.5,0,3,5,4,,-19.87341114,-13.82545125,0
A0087,22.73335619,113.8312919,66,0,3,5,4,,-22.38709938,-12.51859877,0
A0088,22.7778578,113.9170043,70,0,3,3,4,,-17.44742067,-18.09993257,0
A0089,22.70597175,113.8079954,66.5,0,3,5,4,,-25.42677222,-11.00160073,0
A0090,22.70466497,113.9726899,70,0,3,3,3,,-25.5718248,-21.72601143,0
A0091,22.65204961,114.0535937,65.5,0,3,3,3,,-31.41212976,-26.99422366,0
A0092,22.72133411,114.0616196,67,0,3,3,2,,-23.72155026,-27.51684614,0
A0093,22.68008861,113.8347861,70,0,3,3,4,,-28.29980076,-12.74613057,0
A0094,22.70874974,113.8160543,66,0,3,5,4,,-25.11841533,-11.52637207,0
A0095,22.60766979,113.8685312,65.5,0,3,3,3,,-36.33828978,-14.94351003,0
A0096,22.72710367,114.0613819,67,1,3,3,2,,-23.0811291,-27.50136783,0
A0097,22.67955589,113.8329385,65.5,0,3,3,4,,-28.35893268,-12.62582041,0
A0098,22.67509773,113.822362,65.5,0,3,3,4,,-28.85378844,-11.93711053,0
A0099,22.73335619,113.8312919,66,0,3,5,4,,-22.38709938,-12.51859877,0
A0100,22.61177508,114.0380587,66,0,3,3,3,,-35.88260259,-25.98263117,0
A0101,22.73006657,114.0666477,66.5,0,3,3,2,,-22.7522472,-27.8442609,0
A0102,22.65235376,113.9299125,70,0,3,3,3,,-31.37836911,-18.94047575,0
A0103,22.71365257,114.0652375,66,0,3,3,2,,-24.5742012,-27.75243291,0
A0104,22.56073431,113.8900779,70,1,3,3,3,,-41.54812806,-16.34656635,0
A0105,22.67343353,113.8257052,65,0,3,3,4,,-29.03851464,-12.15480966,0
A0106,22.59155498,114.1259102,67.5,0,3,3,2,,-38.12703369,-31.70325673,0
A0107,22.670522,113.9235611,70,0,3,3,3,,-29.36169447,-18.52689168,0
A0108,22.70038707,113.8449026,66,0,3,3,4,,-26.0466717,-13.40488663,0
A0109,22.56350361,113.9068948,65.5,1,3,3,3,,-41.24073576,-17.44163232,0
A0110,22.70743279,113.9300131,68.5,0,3,3,3,,-25.26459678,-18.94702652,0
A0111,22.6335575,113.8513604,70.5,0,3,3,3,,-33.46475397,-13.82539915,0
A0112,22.56419251,113.8961664,65.5,0,3,3,3,,-41.16426786,-16.74303117,0
A0113,22.66919267,114.0384117,66.5,0,3,3,3,,-29.5092501,-26.00561746,0
A0114,22.59628077,113.8550628,66.5,0,3,3,3,,-37.602471,-14.06648831,0
A0115,22.68518823,113.8115675,67,0,3,3,4,,-27.73374294,-11.23420514,0
A0116,22.70700814,114.0967766,66,0,3,3,2,,-25.31173293,-29.80616429,0
A0117,22.730349,114.068783,67,0,3,3,2,,-22.72089747,-27.98330521,0
A0118,22.607611,113.8698943,65.5,0,3,3,3,,-36.34481547,-15.032271,0
A0119,22.58488076,113.913275,66,1,3,3,3,,-38.86787211,-17.85709177,0
A0120,22.5609901,113.894563,65.5,0,3,3,3,,-41.51973537,-16.63862258,0
A0121,22.73565178,114.280464,65,1,3,3,2,,-22.13228889,-41.76733554,0
A0122,22.58194314,113.8880166,66.5,1,3,3,3,,-39.19394793,-16.2123407,0
A0123,22.58297289,113.9071834,65.5,1,3,3,3,,-39.07964568,-17.46042509,0
A0124,22.54138954,113.9191104,66,1,3,3,3,,-43.69539753,-18.23707547,0
A0125,22.77040177,113.8551161,66,0,3,5,4,,-18.27504,-14.06995905,0
A0126,23.16769035,113.6651728,75,1,2,5,5,,25.82399238,-1.701422391,0
A0127,23.16549805,113.3875901,65.5,1,1,1,1,,25.58064708,16.37392852,0
A0128,23.159336,113.3387113,65.5,0,1,1,1,,24.89665953,19.55676902,0
A0129,23.16878915,113.4199598,66.5,1,1,1,1,,25.94595918,14.26611097,0
A0130,23.12849295,113.3506186,65,0,1,1,1,,21.47308098,18.78140145,0
A0131,23.13070225,113.4162609,65.5,0,1,1,1,,21.71831328,14.50697221,0
A0132,23.13822079,113.3894867,65,0,1,1,1,,22.55287122,16.25042763,0
A0133,23.18611685,113.5974857,75,1,2,1,5,,27.86933388,2.706158068,0
A0134,23.12401896,113.411547,65,0,1,1,1,,20.97646809,14.81392721,0
A0135,23.1381659,113.3728361,65.5,1,1,1,1,,22.54677843,17.33466464,0
A0136,23.19967301,113.406847,68.5,0,1,1,1,,29.37406764,15.11997708,0
A0137,23.12248087,113.3611249,65.5,0,1,1,1,,20.8057401,18.09726278,0
A0138,23.20013915,113.374909,65.5,0,1,1,1,,29.42580918,17.19968362,0
A0139,23.10125022,113.5484367,68,0,2,1,1,,18.44913795,5.900081488,0
A0140,23.12486646,113.5614453,69,0,2,1,1,,21.07054059,5.053000565,0
A0141,23.10871181,113.4928846,66.5,0,2,1,1,,19.27737444,9.51746723,0
A0142,23.12431564,113.4081151,65,0,1,1,1,,21.00939957,15.03740222,0
A0143,23.16751438,113.3379544,66,0,1,1,1,,25.80445971,19.60605608,0
A0144,23.13544204,113.390008,65,0,1,1,1,,22.24442997,16.21648214,0
A0145,23.13680577,113.3315495,65,0,1,1,1,,22.395804,20.02312391,0
A0146,23.11593032,113.4204891,66,0,1,1,1,,20.07862905,14.23164454,0
A0147,23.16189407,113.3433346,66,0,1,1,1,,25.1806053,19.25571363,0
A0148,23.10979739,113.4534484,66,0,1,1,1,,19.39787382,12.08543401,0
A0149,23.10975809,113.4534812,66,0,1,1,1,,19.39351152,12.08329818,0
A0150,23.19090473,113.4492017,73,1,1,1,1,,28.40078856,12.36196635,0
A0151,23.10871181,113.4928846,66.5,1,2,1,1,,19.27737444,9.51746723,0
A0152,23.09982822,113.4849635,65.5,0,2,1,1,,18.29129595,10.03326545,0
A0153,23.07978943,113.429745,70.5,1,1,1,1,,16.06699026,13.62892816,0
A0154,23.11810119,113.5442171,67,1,2,1,1,,20.31959562,6.174849155,0
A0155,23.10871181,113.4928846,66.5,1,2,1,1,,19.27737444,9.51746723,0
A0156,23.10112473,113.4872412,65.5,0,2,1,1,,18.43520856,9.884948472,0
A0157,23.14872294,113.5152914,73.5,0,2,1,1,,23.71860987,8.058403777,0
A0158,23.0479764,113.2892933,69,0,1,1,1,,12.53574393,22.77472061,0
A0159,23.11114068,113.2782409,66,0,1,1,1,,19.54697901,23.49441968,0
A0160,22.9345908,113.4167995,70,0,1,1,1,,-0.05005767,14.4719002,0
A0161,23.39690863,113.3475114,75,0,1,2,7,,51.26722146,18.98373297,0
A0162,23.09138071,113.5316771,70,0,2,1,1,,17.35362234,6.991416255,0
A0163,23.21565299,113.3005692,66,0,1,1,7,,31.14784542,22.04046791,0
A0164,22.96099325,113.4427752,66.5,0,1,1,1,,2.88061428,12.78044071,0
A0165,23.21280913,113.2563331,65.5,0,1,1,7,,30.83217696,24.92098975,0
A0166,23.29451408,113.3313063,69,0,1,2,7,,39.90142641,20.03896036,0
A0167,23.23745771,113.2042653,70,0,1,1,7,,33.56816934,28.31148835,0
A0168,23.37184576,113.3603993,74.5,0,1,2,7,,48.48524289,18.14451167,0
A0169,23.38627895,113.410599,74,0,1,2,7,,50.08732698,14.87565812,0
A0170,23.25778406,113.3199932,65.5,0,1,1,7,,35.82439419,20.77563542,0
A0171,23.08029132,113.2042061,67.5,0,1,4,6,,16.12270005,28.31534327,0
A0172,23.21280913,113.2563331,65.5,0,1,1,7,,30.83217696,24.92098975,0
A0173,23.25231339,113.2640936,66.5,0,1,1,7,,35.21714982,24.41564932,0
A0174,23.26171206,113.2736317,65.5,0,1,1,7,,36.26040219,23.79455692,0
A0175,23.19657146,113.248218,65,0,1,1,7,,29.02979559,25.44942066,0
A0176,23.23376317,113.2234607,67.5,0,1,1,7,,33.1580754,27.06154161,0
A0177,22.60495971,113.8575896,66,0,3,3,3,,-36.63910866,-14.23102593,0
A0178,22.75034263,113.5835226,70,1,2,5,4,,-20.50160454,3.615393162,0
A0179,23.11295796,113.2185961,67,1,1,1,1,,19.74869709,27.37830974,0
A0180,23.13175901,113.275758,65,0,1,1,1,,21.83561364,23.65609866,0
A0181,23.1404539,113.2885119,65.5,1,1,1,1,,22.80074643,22.82560303,0
A0182,23.12882385,113.4224455,65.5,0,1,1,1,,21.50981088,14.10424966,0
A0183,23.1381659,113.3728361,65.5,1,1,1,1,,22.54677843,17.33466464,0
A0184,23.13534304,113.3037146,65,0,1,1,1,,22.23344097,21.83564891,0
A0185,23.14416119,113.2937609,65.5,1,1,1,1,,23.21225562,22.48380393,0
A0186,23.13508872,113.3087933,65,0,1,1,1,,22.20521145,21.50493924,0
A0187,23.12912268,113.3502696,65.5,0,1,1,1,,21.54298101,18.80412728,0
A0188,23.13559919,113.3507531,65.5,0,1,1,1,,22.26187362,18.77264321,0
A0189,22.89140037,113.4634086,69.5,1,2,1,1,,-4.8441954,11.43685573,0
A0190,23.1324472,113.3398257,65.5,1,1,1,1,,21.91200273,19.48420265,0
A0191,23.13782219,113.3913207,65,0,1,1,1,,22.50862662,16.13100306,0
A0192,23.13708468,113.3341858,65,0,1,1,1,,22.42676301,19.85145598,0
A0193,23.19965405,113.3471287,65.5,0,1,1,1,,29.37196308,19.00865324,0
A0194,23.16281868,113.418328,66,1,1,1,1,,25.28323701,14.37236888,0
A0195,23.16213347,113.3362425,65.5,0,1,1,1,,25.2071787,19.71752986,0
A0196,23.17452179,113.3590439,66.5,0,1,1,1,,26.58228222,18.23277124,0
A0197,23.13963001,113.373441,65,0,1,1,1,,22.70929464,17.29527537,0
A0198,22.82926076,113.5128066,75,1,2,5,4,,-11.74169211,8.220206483,0
A0199,22.77403434,113.5634849,74.5,1,2,5,4,,-17.87182473,4.920187945,0
A0200,22.76096874,113.5670518,75,1,2,5,4,,-19.32210633,4.68792214,0
A0201,23.06873266,113.2597245,67,1,1,1,1,,14.83968879,24.70015198,0
A0202,23.38043854,113.2148083,70,1,1,2,7,,49.43904147,27.62495988,0
A0203,23.06832244,113.259826,67,0,1,1,1,,14.79415437,24.6935426,0
A0204,22.80661724,113.5538411,66.5,1,2,5,4,,-14.25512283,5.548163208,0
A0205,22.80808312,113.5540935,66.5,1,2,5,4,,-14.09241015,5.531727679,0
A0206,22.8075467,113.5521662,70,1,2,5,4,,-14.15195277,5.657227661,0
A0207,22.75155653,113.5823006,70,1,2,5,4,,-20.36686164,3.694966128,0
A0208,22.73722496,113.49332,75,1,2,5,4,,-21.95766591,9.489115291,0
A0209,22.75149396,113.5830112,70,1,2,5,4,,-20.37380691,3.648693992,0
A0210,23.10871181,113.4928846,67,1,2,1,1,,19.27737444,9.51746723,0
A0211,23.14381101,113.225977,66,0,1,1,1,,23.17338564,26.89768772,0
A0212,23.45231332,113.1865032,70,0,1,2,7,,57.41714205,29.4681029,0
A0213,23.33873201,113.287509,68,1,1,2,7,,44.80961664,22.89090887,0
A0214,23.46633279,113.159492,70,0,1,2,7,,58.97330322,31.22699104,0
A0215,23.14217367,113.2258303,66,0,1,1,1,,22.9916409,26.90724038,0
A0216,23.37477577,113.1788848,70.5,1,1,2,7,,48.810474,29.96419021,0
A0217,23.4707977,113.1623173,70,0,1,2,7,,59.46890823,31.043016,0
A0218,23.13697262,113.2511805,66,1,1,1,1,,22.41432435,25.25651157,0
A0219,23.45673194,113.2818311,70.5,1,1,2,7,,57.90760887,23.26063664,0
A0220,23.39286447,113.2168771,65,1,1,2,7,,50.8183197,27.49024585,0
A0221,23.45948327,113.1906655,70,0,1,2,7,,58.2130065,29.19706644,0
A0222,22.71023017,113.5528912,75,1,2,5,4,,-24.9540876,5.61001784,0
A0223,23.46689744,113.1568477,70,0,1,2,7,,59.03597937,31.39917991,0
A0224,23.39484028,113.2214471,70,0,1,2,7,,51.03763461,27.19266119,0
A0225,23.33887144,113.1110649,75,1,1,2,7,,44.82509337,34.3804182,0
A0226,23.4739307,113.2286618,75,0,1,2,7,,59.81667123,26.72286161,0
A0227,23.4153625,113.2559812,70,1,1,2,7,,53.31560103,24.94390442,0
A0228,23.39620146,113.2148232,65.5,1,1,2,7,,51.18872559,27.62398964,0
A0229,23.40499354,113.2185644,70,1,1,2,7,,52.16464647,27.38037395,0
A0230,23.07562227,113.2882907,66,1,1,1,1,,15.6044355,22.84000691,0
A0231,23.37243417,113.2076071,70,1,1,2,7,,48.5505564,28.09388038,0
A0232,23.42583117,113.2080568,70,1,1,2,7,,54.4776234,28.06459727,0
A0233,23.39841078,113.2515307,70,1,1,2,7,,51.43396011,25.2337076,0
A0234,23.38959437,113.2094492,70,1,1,2,7,,50.4553386,27.97392837,0
A0235,23.40380215,113.2090908,70,1,1,2,7,,52.03240218,27.9972663,0
A0236,23.39508831,113.2092329,70,1,1,2,7,,51.06516594,27.98801317,0
A0237,23.09692801,113.239735,66,1,1,1,1,,17.96937264,26.00180812,0
A0238,23.40841281,113.2127554,70,1,1,2,7,,52.54418544,27.75863856,0
A0239,23.09187146,113.3378758,65,1,1,1,1,,17.40809559,19.61117427,0
A0240,23.39484028,113.2214471,70,0,1,2,7,,51.03763461,27.19266119,0
A0241,23.09537864,113.340586,65.5,0,1,1,1,,17.79739257,19.4346942,0
A0242,23.40649056,113.1696376,71.5,1,1,2,7,,52.33081569,30.56634007,0
A0243,23.10022614,113.2726541,65.5,0,1,1,1,,18.33546507,23.8582153,0
A0244,23.11405394,113.2681623,66,0,1,1,1,,19.87035087,24.15070781,0
A0245,23.42604026,113.2057436,70,1,1,2,7,,54.50083239,28.2152259,0
A0246,23.09144379,113.3619952,66.5,0,1,1,1,,17.36062422,18.04059146,0
A0247,23.07250678,113.3232631,66,1,1,1,1,,15.25861611,20.56270936,0
A0248,23.09874703,113.3145001,65,0,1,1,1,,18.17128386,21.13332958,0
A0249,23.09223544,113.3618211,66.5,0,1,1,1,,17.44849737,18.05192832,0
A0250,23.09225763,113.3092172,65.5,1,1,1,1,,17.45096046,21.47733615,0
A0251,23.07813828,113.3563529,66.5,0,1,1,1,,15.88371261,18.40800107,0
A0252,23.07207495,113.3573906,67,0,1,1,1,,15.21068298,18.34042916,0
A0253,23.08686269,113.3324673,65,1,1,1,1,,16.85212212,19.96335953,0
A0254,23.09349108,113.2792664,65.5,1,1,1,1,,17.58787341,23.4276422,0
A0255,23.08887865,113.3283798,65,1,1,1,1,,17.07589368,20.22952524,0
A0256,23.08690863,113.3432045,65.5,1,1,1,1,,16.85722146,19.26418535,0
A0257,23.08762923,113.3338413,65,1,1,1,1,,16.93720806,19.87388878,0
A0258,23.06884733,113.3226199,66.5,1,1,1,1,,14.85241716,20.60459261,0
A0259,23.01403653,113.3995947,68,1,1,1,1,,8.76841836,15.59222505,0
A0260,23.08308279,113.3399863,65.5,1,1,1,1,,16.43255322,19.47374486,0
A0261,23.0479764,113.2892933,69,0,1,1,1,,12.53574393,22.77472061,0
A0262,23.09231582,113.333797,65,1,1,1,1,,17.45741955,19.87677347,0
A0263,22.94104074,113.3643577,65,1,1,1,1,,0.66588567,17.88675256,0
A0264,23.09607127,113.321481,65.5,1,1,1,1,,17.8742745,20.67875436,0
A0265,23.01919557,113.3252713,65.5,1,1,1,1,,9.3410718,20.43194142,0
A0266,22.8145924,113.4191078,75,0,1,1,1,,-13.36988007,14.32159065,0
A0267,22.96639568,113.4186506,67,1,1,1,1,,3.48028401,14.35136213,0
A0268,22.9345908,113.4167995,70,1,1,1,1,,-0.05005767,14.4719002,0
A0269,22.99106044,113.4052447,70.5,1,1,1,1,,6.21807237,15.22431404,0
A0270,22.96178714,113.4420382,66,1,1,1,1,,2.96873607,12.82843193,0
A0271,22.88992793,113.4614475,72,1,2,1,1,,-5.00763624,11.56455667,0
A0272,23.02170016,113.3574494,68,1,1,1,1,,9.61908129,18.33660029,0
A0273,22.8100654,113.4141599,75,0,1,1,1,,-13.87237707,14.64378302,0
A0274,23.00743132,113.3201755,67,1,1,1,1,,8.03524005,20.76376459,0
A0275,22.94194927,113.3712035,65.5,0,1,1,1,,0.7667325,17.44097464,0
A0276,22.94428352,113.4044932,65,1,1,1,1,,1.02583425,15.27324946,0
